"id";"name";"strasse";"plz";"ort"
"85";"Stadtteilschule Alter Teichweg";"Alter Teichweg 200";"22049";"Hamburg"
"86";"Charlotte-Paulsen-Gymnasium";NULL;"22041";"Hamburg"
"87";"Alexander-von-Humboldt Gymnasium Hamburg";NULL;"21079";"Hamburg"
"88";"Gymnasium Hochrad";NULL;"22605";"Hamburg"
"89";"Gymnasium Buckhorn";NULL;"22359";"Hamburg"
"90";"Abendschule vor dem Holstentor";NULL;"20355";"Hamburg"
"91";"Gymnasium Oldenfelde";NULL;"22143";"Hamburg"
"92";"Bundeswehrfachschule Hamburg";NULL;"22589";"Hamburg"
"93";"Gymnasium Othmarschen";NULL;"22065";"Hamburg"
"94";"Gymnasium Oberalster, ";"Alsterredder 26";"22395";"Hamburg"
"95";"Gymnasium Meiendorf";NULL;"22145";"Hamburg"
"96";"Sankt-Ansgar-Schule, 20535 Hamburg";NULL;"20535";"Hamburg"
"97";"Gymnasium Heidberg, 22417 Hamburg";NULL;"22417";"Hamburg"
"98";"Otto-Hahn-Schule Jenfeld";NULL;"22043";"Hamburg"
"99";"Stadtteilschule Horn";"Snitgerreihe 2";"22111";"Hamburg"
"100";"Gymnasium Bornbrook";NULL;"21031";"Hamburg"
"101";"Gymnasium Allermöhe";NULL;"21035";"Hamburg"
"102";"Anna-Warburg-Schule";"Niendorfer Marktplatz 7a";"22459";"Hamburg"
"103";"Berufliche Schulen am Lämmermarkt";"Wallstraße 2";"22087";"Hamburg"
"104";"Gymnasium Ohmoor";NULL;"22455";"Hamburg"
"105";"Gymnasium Farmsen, 22159 Hamburg";NULL;"22159";"Hamburg"
"106";"Stadtteilschule Bergstedt";NULL;"22395";"Hamburg"
"107";"Immanuel-Kant-Gymnasium Hamburg";NULL;"21077";"Hamburg"
"108";"Gymnasium Dörpsweg Hamburg";"Dörpsweg 10";"22527";"Hamburg"
"109";"Albert-Einstein-Gymnasium Hameln";NULL;"31785";"Hameln"
"110";"Aue-Geest-Gymnasium Harsefeld";NULL;"21698";"Harsefeld"
"111";"Werner-Heisenberg-Gymnasium";NULL;"25746";"Heide"
"112";"BBZ Dithmarschen (Heide)";;"25746";"Heide"
"113";"Gymnasium Heide-Ost";NULL;"25746";"Heide"
"114";"Gymnasium Warstade";NULL;"21745";"Hemmoor"
"115";"Alstergymnasium";NULL;"24558";"Henstedt-Ulzburg"
"116";"Berufliches Gymnasium (Kreis Nordfriesland)";"Herzog-Adolf-Straße 3";"25813";"Husum"
"117";"HTS Hermann-Tast-Schule";"Am Bahndamm 1";"25813";"Husum"
"118";"Theodor-Storm-Schule";"Ludwig-Nissen-Str. 62";"25813";"Husum"
"119";"Auguste Viktoria Schule";"Große Paaschburg 68";"25524";"Itzehoe"
